switch_ip,interface,mac_voice,mac_access,ip_voice,ip_access
10.2.200.8,Gi2/0/8,5057.a887.782c,14c9.13a7.f4af,10.2.204.36,10.2.200.159
10.2.200.8,Gi2/0/12,0045.1d86.2ac2,0080.64ad.f193,10.2.206.49,10.2.200.155
10.2.200.8,Gi2/0/13,N/A,54e1.401f.946f,N/A,10.2.200.161
10.2.200.8,Gi2/0/16,c414.3cb0.c60f,0080.64ad.e0e3,10.2.206.37,10.2.202.65
10.2.200.8,Gi2/0/25,0076.86fc.a0e1,14c9.132d.5fed,10.2.206.8,10.2.200.158
10.2.200.8,Gi2/0/26,N/A,00c0.b78c.7cff,N/A,10.2.202.76
10.2.200.8,Gi2/0/35,203a.0782.6155,14c9.132d.860e,10.2.204.16,10.2.200.112
10.2.200.8,Gi2/0/42,5057.a887.86ce,14c9.13a7.8911,10.2.204.18,10.2.202.129
10.2.200.8,Gi2/0/47,6899.cda1.0b8f,14c9.1304.da30,10.2.204.35,10.2.202.83
10.2.200.8,Gi2/0/48,N/A,0023.2440.fd1e,N/A,10.2.200.191
10.2.200.9,Gi1/0/2,N/A,00e0.db55.bac5,N/A,10.2.200.114
10.2.200.9,Gi1/0/3,N/A,d485.6440.30d6,N/A,10.2.200.101
10.2.200.9,Gi1/0/5,f8b7.e295.6b51,2017.4263.a835,10.2.204.53,10.2.202.82
10.2.200.9,Gi1/0/8,N/A,9c32.ce09.de9c,N/A,10.2.202.80
10.2.200.9,Gi1/0/9,6c50.4dda.3431,N/A,10.2.204.43,N/A
10.2.200.9,Gi1/0/13,5067.ae24.59f7,a823.fea2.f9c8,10.2.204.22,10.2.200.116
10.2.200.9,Gi1/0/14,203a.0782.3601,3822.e216.8091,10.2.206.53,10.2.202.94
10.2.200.9,Gi1/0/17,N/A,00e0.db54.f2aa,N/A,10.2.202.102
10.2.200.9,Gi1/0/34,0057.d2c1.7dcb,N/A,10.2.204.11,N/A
10.2.200.9,Gi1/0/35,0038.df00.24f2,N/A,10.2.206.13,N/A
10.2.200.9,Gi1/0/36,0038.df01.6599,N/A,10.2.206.11,N/A
10.2.200.9,Gi1/0/38,c064.e4ec.07f8,N/A,10.2.206.12,N/A
10.2.200.9,Gi1/0/39,N/A,0040.8cba.63a1,N/A,10.2.200.137
10.2.200.9,Gi1/0/40,N/A,2829.863d.849c,N/A,10.2.202.96
10.2.200.9,Gi1/0/42,N/A,0050.1a2d.6eb9,N/A,10.2.200.32
10.2.200.9,Gi1/0/43,c4c6.03f0.7b18,1860.24f2.ba40,10.2.204.12,10.2.200.160
10.2.200.9,Gi1/0/44,N/A,0050.1a20.0ee3,N/A,10.2.200.31
10.2.200.9,Gi1/0/45,N/A,0040.8cba.639f,N/A,10.2.200.138
10.2.200.9,Gi1/0/46,6c50.4dda.6377,2017.4263.aac1,10.2.204.48,10.2.200.131
10.2.200.9,Gi1/0/47,N/A,502f.a81e.b2b4,N/A,10.2.202.71
10.2.200.9,Gi1/0/48,N/A,502f.a82b.9ee8,N/A,10.2.200.147
10.2.200.1,Gi1/0/1,ecc8.8210.cff7,N/A,10.2.204.47,N/A
10.2.200.1,Gi1/0/2,7802.b1d4.07f8,e8d8.d14e.1e6d,10.2.206.34,10.2.202.109
10.2.200.1,Gi1/0/3,N/A,54bf.646e.7416,N/A,10.2.200.109
10.2.200.1,Gi1/0/4,c4c6.03f1.0382,2017.4263.a736,10.2.204.29,10.2.202.88
10.2.200.1,Gi1/0/5,N/A,782b.cbb6.c8cd,N/A,10.2.202.95
10.2.200.1,Gi1/0/6,b414.89a2.222f,54bf.646e.bf4d,10.2.204.49,10.2.200.119
10.2.200.1,Gi1/0/8,f8b7.e295.7141,N/A,10.2.204.34,N/A
10.2.200.1,Gi1/0/9,N/A,0026.b979.430c,N/A,10.2.200.43
10.2.200.1,Gi1/0/10,N/A,e8d8.d14e.1c8b,N/A,10.2.200.187
10.2.200.1,Gi1/0/11,N/A,0023.7d8b.b3e4,N/A,10.2.200.56
10.2.200.1,Gi1/0/12,682c.7b5c.166a,14c9.1305.18fb,10.2.204.51,10.2.200.105
10.2.200.1,Gi1/0/13,N/A,0023.7d8a.4e1c,N/A,10.2.200.57
10.2.200.1,Gi1/0/15,a093.510f.e2cf,7427.ea67.80ff,10.2.204.26,10.2.200.175
10.2.200.1,Gi1/0/17,N/A,0040.8ca3.6a7f,N/A,10.2.200.128
10.2.200.1,Gi1/0/18,N/A,0040.8ca3.6a80,N/A,10.2.200.129
10.2.200.1,Gi1/0/19,N/A,a8b4.5632.35bc,N/A,10.2.200.181
10.2.200.1,Gi1/0/20,ecc8.8210.d05f,e8d8.d14e.2223,10.2.204.33,10.2.202.113
10.2.200.1,Gi1/0/21,N/A,000f.e504.6d06,N/A,10.2.202.120
10.2.200.1,Gi1/0/22,b414.89a3.d087,e8d8.d14e.1dca,10.2.204.25,10.2.202.105
10.2.200.1,Gi1/0/24,6c50.4d57.0a36,N/A,10.2.204.20,N/A
10.2.200.1,Gi1/0/25,6c50.4d57.853b,e8d8.d14e.24f8,10.2.204.46,10.2.202.116
10.2.200.1,Gi1/0/26,N/A,0040.8cba.63a4,N/A,10.2.200.152
10.2.200.1,Gi1/0/27,203a.0782.6ba3,N/A,10.2.206.5,N/A
10.2.200.1,Gi1/0/28,N/A,e8d8.d14e.1bb7,N/A,10.2.202.110
10.2.200.1,Gi1/0/29,N/A,0026.b979.2969,N/A,10.2.200.17
10.2.200.1,Gi1/0/30,50f7.2271.b8a1,0011.85d7.f6fb,10.2.206.10,10.2.200.164
10.2.200.1,Gi1/0/32,N/A,0040.8cba.63a5,N/A,10.2.200.133
10.2.200.1,Gi1/0/33,6c50.4d57.0eb2,f439.0912.6e80,10.2.204.27,10.2.200.172
10.2.200.1,Gi1/0/35,b4a4.e3d6.3665,N/A,10.2.204.15,N/A
10.2.200.1,Gi1/0/37,6c50.4d57.1575,N/A,10.2.204.14,N/A
10.2.200.1,Gi1/0/38,N/A,d0dd.49d3.d22c,N/A,10.2.200.18
10.2.200.1,Gi1/0/42,N/A,000c.863f.6765,N/A,10.2.200.13
10.2.200.1,Gi1/0/43,6c50.4d57.0fb9,N/A,10.2.204.52,N/A
10.2.200.1,Gi1/0/44,N/A,0010.8d02.942a,N/A,10.2.200.21
10.2.200.1,Gi1/0/45,501c.b00d.969e,e8d8.d14e.145f,10.2.206.9,10.2.200.182
10.2.200.1,Gi1/0/46,b414.89a3.d028,80e8.2c32.fdc0,10.2.204.30,10.2.200.186
10.2.200.1,Gi1/0/47,b414.89a3.cdfb,785d.c8be.fd09,10.2.204.23,10.2.202.91
10.2.200.1,Gi1/0/48,6c50.4d57.120e,N/A,10.2.204.19,N/A
10.2.200.1,Gi2/0/1,N/A,14c9.132d.5bf0,N/A,10.2.200.156
10.2.200.1,Gi2/0/2,N/A,14c9.1305.1abc,N/A,10.2.202.112
10.2.200.1,Gi2/0/3,N/A,14c9.132d.59bb,N/A,10.2.200.153
10.2.200.1,Gi2/0/4,N/A,14c9.132d.5cb1,N/A,10.2.202.122
10.2.200.1,Gi2/0/5,N/A,0023.244a.e5f4,N/A,10.2.200.193
10.2.200.1,Gi2/0/6,N/A,14c9.1305.1a36,N/A,10.2.200.162
10.2.200.1,Gi2/0/10,N/A,e8d8.d14e.1e6e,N/A,10.2.202.103
10.2.200.1,Gi2/0/16,N/A,8887.170b.343f,N/A,10.2.202.93
10.2.200.1,Gi2/0/17,N/A,502f.a81e.b2f0,N/A,10.2.200.177
10.2.200.1,Gi2/0/18,N/A,cc46.d612.fa64,N/A,10.2.202.97
10.2.200.1,Gi2/0/19,6c50.4dda.3405,N/A,10.2.204.24,N/A
10.2.200.1,Gi2/0/21,N/A,0026.b977.d3e1,N/A,10.2.200.22
10.2.200.1,Gi2/0/30,N/A,d0dd.49d7.dd58,N/A,10.2.200.178
10.2.200.1,Gi2/0/31,N/A,e8d8.d14e.2052,N/A,10.2.200.185
10.2.200.1,Gi2/0/36,N/A,0018.8511.73f1,N/A,10.2.200.252
10.2.200.1,Gi2/0/39,N/A,0040.8cba.63a0,N/A,10.2.200.139
10.2.200.1,Gi2/0/40,N/A,001b.2142.12a0,N/A,10.2.200.14
10.2.200.1,Gi2/0/42,203a.0782.56d1,e8d8.d14e.1808,10.2.206.28,10.2.200.180
10.2.200.1,Gi2/0/44,dceb.941d.2998,N/A,10.2.206.41,N/A
10.2.200.1,Gi2/0/45,N/A,14c9.1305.19ee,N/A,10.2.202.123
10.2.200.1,Gi2/0/46,N/A,6c2b.59f6.3f6a,N/A,10.2.200.102
10.2.200.1,Gi3/0/1,N/A,3ca8.2a00.00ab,N/A,10.2.200.176
10.2.200.1,Gi3/0/20,ecc8.82b0.7851,N/A,10.2.204.39,N/A
10.2.200.1,Gi3/0/22,N/A,00c0.b7e3.4fcb,N/A,10.2.202.74
10.2.200.1,Gi3/0/24,N/A,0000.85db.c98e,N/A,10.2.200.132
10.2.200.1,Gi3/0/25,f8b7.e295.6abd,e8d8.d14e.1e60,10.2.204.17,10.2.202.114
10.2.200.1,Gi3/0/27,N/A,00eb.d5df.efd8,N/A,10.2.200.130
10.2.200.1,Gi3/0/29,N/A,30e1.71b7.50d0,N/A,10.2.202.100
10.2.200.1,Gi3/0/30,N/A,88f0.313d.79f0,N/A,10.2.202.115
10.2.200.1,Gi3/0/32,a44c.11dd.7670,N/A,10.2.204.68,N/A
10.2.200.1,Gi3/0/34,203a.0782.739b,N/A,10.2.204.21,N/A
10.2.200.1,Gi3/0/36,203a.0782.64ed,14c9.13a7.8d4b,10.2.204.40,10.2.202.99
10.2.200.1,Gi3/0/37,N/A,54e1.401f.93a3,N/A,10.2.200.103
10.2.200.1,Gi3/0/38,f8b7.e295.6bdf,e8d8.d14e.1c9e,10.2.206.50,10.2.200.141
10.2.200.1,Gi3/0/40,ccd8.c1fb.024f,N/A,10.2.206.43,N/A
10.2.200.1,Gi3/0/41,cc7f.758b.1d3c,3ccd.93c3.aca1,10.2.206.6,10.2.202.75
10.2.200.1,Gi3/0/43,N/A,d485.6440.30dd,N/A,10.2.200.61
10.2.200.1,Gi3/0/44,6c50.4d57.0bd3,e8d8.d14e.1c98,10.2.204.13,10.2.202.111
10.2.200.1,Gi3/0/45,N/A,001b.2181.6a20,N/A,10.2.200.15
10.2.200.1,Gi3/0/48,N/A,0040.8ce5.defd,N/A,10.2.200.251
192.168.116.7,Gi1/0/1,a093.510f.f4f7,1860.24eb.efa8,192.168.117.91,192.168.116.94
192.168.116.7,Gi1/0/2,N/A,1860.24eb.d4ca,N/A,192.168.116.68
192.168.116.7,Gi1/0/3,N/A,0080.64ad.e09b,N/A,192.168.116.236
192.168.116.7,Gi1/0/4,N/A,785d.c8be.e070,N/A,192.168.116.84
192.168.116.7,Gi1/0/5,N/A,0080.64ad.e261,N/A,192.168.116.197
192.168.116.7,Gi1/0/6,203a.0782.74f1,b00c.d16f.06bc,192.168.117.176,10.100.4.33
192.168.116.7,Gi1/0/7,N/A,0080.64ad.dc93,N/A,192.168.116.226
192.168.116.7,Gi1/0/8,N/A,3ccd.9338.f091,N/A,192.168.116.209
192.168.116.7,Gi1/0/9,203a.0782.72bb,0080.64ad.df00,192.168.117.182,192.168.116.106
192.168.116.7,Gi1/0/10,N/A,14c9.13a7.8afd,N/A,10.100.4.38
192.168.116.7,Gi1/0/11,N/A,84b8.0272.20f0,N/A,192.168.116.119
192.168.116.7,Gi1/0/12,N/A,84b8.0277.3790,N/A,192.168.116.218
192.168.116.7,Gi1/0/13,0057.d2c1.aa85,040e.3ca3.9c38,192.168.117.72,192.168.116.108
192.168.116.7,Gi1/0/14,N/A,84b8.0272.1d4c,N/A,192.168.116.196
192.168.116.7,Gi1/0/15,203a.0782.6431,14c9.13a7.f5ba,192.168.117.35,192.168.116.235
192.168.116.7,Gi1/0/16,203a.0782.5ee5,N/A,192.168.117.33,N/A
192.168.116.7,Gi1/0/17,N/A,c8d9.d2b0.5bc8,N/A,10.1.100.18
192.168.116.7,Gi1/0/18,203a.0782.64dd,0080.64ad.f190,192.168.117.173,192.168.116.211
192.168.116.7,Gi1/0/19,203a.0782.346b,0080.64ad.e03e,192.168.117.41,192.168.116.61
192.168.116.7,Gi1/0/20,000f.9088.38a5,14c9.13a7.e4bf,192.168.117.190,192.168.116.89
192.168.116.7,Gi1/0/21,N/A,84b8.0277.349c,N/A,192.168.116.203
192.168.116.7,Gi1/0/22,203a.0782.313f,c465.16a0.da37,192.168.117.172,192.168.116.79
192.168.116.7,Gi1/0/23,N/A,d485.6440.0373,N/A,192.168.116.192
192.168.116.7,Gi1/0/24,203a.0782.5759,0025.64f3.d3f0,192.168.117.87,192.168.116.48
192.168.116.7,Gi1/0/25,ccef.488d.5338,785d.c8be.e077,192.168.117.178,192.168.116.62
192.168.116.7,Gi1/0/26,N/A,b00c.d16e.45f2,N/A,10.100.4.139
192.168.116.7,Gi1/0/27,203a.0782.64e7,e8d8.d14e.2045,192.168.117.143,192.168.116.110
192.168.116.7,Gi1/0/28,N/A,0023.7d8c.7087,N/A,192.168.116.222
192.168.116.7,Gi1/0/29,N/A,e8d8.d14e.197b,N/A,192.168.116.77
192.168.116.7,Gi1/0/30,N/A,3ccd.93c3.aa9c,N/A,192.168.116.214
192.168.116.7,Gi1/0/31,203a.0782.3279,785d.c882.0c02,192.168.117.142,192.168.116.217
192.168.116.7,Gi1/0/33,N/A,14c9.13a7.e473,N/A,192.168.116.92
192.168.116.7,Gi1/0/34,203a.0782.2fdf,785d.c8be.e0a2,192.168.117.198,192.168.116.221
192.168.116.7,Gi1/0/35,N/A,00bb.c176.6200,N/A,192.168.116.125
192.168.116.7,Gi1/0/36,203a.0782.3331,f439.0912.5452,192.168.117.46,192.168.116.133
192.168.116.7,Gi1/0/37,N/A,b00c.d170.fffe,N/A,10.100.4.22
192.168.116.7,Gi1/0/38,N/A,5cff.35c1.fc4e,N/A,10.100.4.32
192.168.116.7,Gi1/0/39,203a.0782.730d,N/A,192.168.117.117,N/A
192.168.116.7,Gi1/0/40,N/A,80ce.625e.cdbc,N/A,192.168.116.135
192.168.116.7,Gi1/0/41,203a.0782.6f4b,0080.64ad.df99,192.168.117.25,192.168.116.183
192.168.116.7,Gi1/0/42,N/A,74bf.c045.7612,N/A,192.168.116.16
192.168.116.7,Gi1/0/45,203a.0782.3529,c8d9.d27f.7bc4,192.168.117.166,192.168.116.132
192.168.116.7,Gi1/0/46,203a.0782.3489,0023.2447.a7a9,192.168.117.89,192.168.116.109
192.168.116.7,Gi1/0/47,N/A,9c32.ce09.63dc,N/A,192.168.116.160
192.168.116.7,Gi1/0/48,203a.0782.3edb,040e.3ca3.9c33,192.168.117.82,192.168.116.195
192.168.116.7,Gi2/0/1,203a.0782.619f,f439.0912.6e41,192.168.117.147,192.168.116.82
192.168.116.7,Gi2/0/2,203a.0782.6a7d,N/A,192.168.117.129,N/A
192.168.116.7,Gi2/0/3,203a.0782.429b,80e8.2c2c.1b7a,192.168.117.180,192.168.116.164
192.168.116.7,Gi2/0/4,203a.0782.6e9d,842b.2ba1.1f7f,192.168.117.70,192.168.116.70
192.168.116.7,Gi2/0/5,203a.0782.6365,3ccd.936f.8288,192.168.117.26,192.168.116.177
192.168.116.7,Gi2/0/6,N/A,0800.09c1.d04e,N/A,192.168.116.148
192.168.116.7,Gi2/0/8,203a.0782.31df,14c9.13a7.8cdf,192.168.117.93,192.168.116.83
192.168.116.7,Gi2/0/9,203a.0782.57c1,80e8.2c2c.17e6,192.168.117.22,192.168.116.87
192.168.116.7,Gi2/0/10,N/A,5cff.35c1.b147,N/A,10.100.4.27
192.168.116.7,Gi2/0/11,203a.0782.6989,f439.0909.9259,192.168.117.66,192.168.116.246
192.168.116.7,Gi2/0/12,N/A,0014.d174.7290,N/A,192.168.116.25
192.168.116.7,Gi2/0/14,N/A,1803.73cc.5ea9,N/A,192.168.116.97
192.168.116.7,Gi2/0/16,N/A,001b.2112.57bc,N/A,192.168.116.105
192.168.116.7,Gi2/0/18,N/A,84b8.02a6.9418,N/A,192.168.116.115
192.168.116.7,Gi2/0/20,0016.474a.dd27,84a9.3e09.ba61,192.168.117.98,192.168.116.120
192.168.116.7,Gi2/0/21,N/A,84b8.02b3.b424,N/A,192.168.116.111
192.168.116.7,Gi2/0/22,0012.00b4.86a2,84a9.3e09.bb00,192.168.117.193,192.168.116.72
192.168.116.7,Gi2/0/23,N/A,80ce.62e8.f0b9,N/A,192.168.116.117
192.168.116.7,Gi2/0/24,N/A,a823.fea2.f4f7,N/A,192.168.116.231
192.168.116.7,Gi2/0/25,203a.0782.2346,N/A,192.168.117.85,N/A
192.168.116.7,Gi2/0/26,08cc.a784.f6c4,785d.c8be.e096,192.168.117.39,192.168.116.163
192.168.116.7,Gi2/0/27,N/A,0014.d174.6577,N/A,192.168.116.20
192.168.116.7,Gi2/0/28,203a.0782.6a9f,785d.c8be.fc52,192.168.117.139,10.100.4.42
192.168.116.7,Gi2/0/29,N/A,accc.8ecd.ad6e,N/A,10.100.4.171
192.168.116.7,Gi2/0/31,203a.0782.3c75,1803.73c1.4540,192.168.117.44,192.168.116.121
192.168.116.7,Gi2/0/32,c4c6.03f1.0046,14c9.132d.8672,192.168.117.169,192.168.116.165
192.168.116.7,Gi2/0/33,203a.0782.57a1,842b.2b9b.ace7,192.168.117.88,192.168.116.96
192.168.116.7,Gi2/0/34,N/A,0007.4d5f.3028,N/A,192.168.116.51
192.168.116.7,Gi2/0/36,f8b7.e295.6b45,14c9.132d.5811,192.168.117.189,192.168.116.73
192.168.116.7,Gi2/0/37,N/A,ace2.d3d8.af3b,N/A,192.168.116.216
192.168.116.7,Gi2/0/38,a4b4.39c3.ef22,80e8.2c31.7302,192.168.117.184,192.168.116.185
192.168.116.7,Gi2/0/41,203a.0782.3043,a823.fea2.fbfd,192.168.117.34,192.168.116.189
192.168.116.7,Gi2/0/42,N/A,0080.64ad.e2b2,N/A,192.168.116.124
192.168.116.7,Gi2/0/43,ac7e.8ab6.4c27,80e8.2c2c.1b97,192.168.117.59,192.168.116.107
192.168.116.7,Gi2/0/44,203a.0782.6159,14c9.13a7.f491,192.168.117.40,192.168.116.158
192.168.116.7,Gi2/0/45,203a.0782.52bd,785d.c8be.e03e,192.168.117.30,192.168.116.225
192.168.116.7,Gi2/0/46,N/A,f439.090c.cced,N/A,192.168.116.182
192.168.116.7,Gi2/0/47,N/A,f439.090c.e1c1,N/A,192.168.116.249
192.168.116.7,Gi2/0/48,203a.0782.7331,3ccd.936f.8373,192.168.117.119,192.168.116.200
192.168.116.7,Gi3/0/1,009a.d2c0.6e0b,N/A,192.168.117.90,N/A
192.168.116.7,Gi3/0/2,203a.0782.732b,785d.c8be.e11b,192.168.117.42,192.168.116.74
192.168.116.7,Gi3/0/3,N/A,5cb9.010d.5e06,N/A,192.168.116.29
192.168.116.7,Gi3/0/4,0008.308a.5ebe,N/A,192.168.117.144,N/A
192.168.116.7,Gi3/0/5,203a.0782.75c3,785d.c8be.df62,192.168.117.78,192.168.116.244
192.168.116.7,Gi3/0/6,N/A,0080.a3bd.c795,N/A,192.168.116.188
192.168.116.7,Gi3/0/7,203a.0782.3f83,N/A,192.168.117.79,N/A
192.168.116.7,Gi3/0/8,N/A,5cff.35c1.ca7a,N/A,10.100.4.20
192.168.116.7,Gi3/0/9,N/A,5cff.35c2.05c5,N/A,10.100.4.149
192.168.116.7,Gi3/0/11,N/A,5cff.35c1.c900,N/A,10.100.4.25
192.168.116.7,Gi3/0/12,203a.0782.628b,785d.c8be.e02a,192.168.117.47,192.168.116.128
192.168.116.7,Gi3/0/13,N/A,0080.64ad.f876,N/A,192.168.116.238
192.168.116.7,Gi3/0/14,N/A,785d.c882.0bd3,N/A,192.168.116.152
192.168.116.7,Gi3/0/15,N/A,14c9.13a7.f594,N/A,192.168.116.204
192.168.116.7,Gi3/0/16,N/A,0011.0afb.ba57,N/A,192.168.116.34
192.168.116.7,Gi3/0/17,N/A,5cff.35c1.cac7,N/A,10.100.4.147
192.168.116.7,Gi3/0/18,N/A,5cff.35c1.fcc2,N/A,10.100.4.133
192.168.116.7,Gi3/0/19,682c.7b5d.c22e,N/A,192.168.117.188,N/A
192.168.116.7,Gi3/0/20,203a.0782.30eb,f439.090b.0d58,192.168.117.21,192.168.116.146
192.168.116.7,Gi3/0/21,c414.3cb0.d075,3ccd.93c2.c934,192.168.117.29,192.168.116.174
192.168.116.7,Gi3/0/22,N/A,040e.3cc3.0b4c,N/A,192.168.116.131
192.168.116.7,Gi3/0/23,203a.0782.62e9,0080.64ad.f871,192.168.117.28,192.168.116.173
192.168.116.7,Gi3/0/24,580a.20fa.e95b,cc2d.8cec.646f,192.168.117.43,192.168.116.199
192.168.116.7,Gi3/0/25,203a.0782.2f87,14c9.13a7.f6bf,192.168.117.49,192.168.116.65
192.168.116.7,Gi3/0/26,580a.20fa.e975,5cff.35c1.fb9a,192.168.117.138,192.168.116.223
192.168.116.7,Gi3/0/27,203a.0782.2d45,1860.24ea.e63f,192.168.117.27,192.168.116.207
192.168.116.7,Gi3/0/28,N/A,5cff.35c1.c9b4,N/A,10.100.4.136
192.168.116.7,Gi3/0/29,N/A,6805.ca88.29b6,N/A,10.90.103.69
192.168.116.7,Gi3/0/30,N/A,14c9.13a7.8bb1,N/A,192.168.116.243
192.168.116.7,Gi3/0/31,N/A,0800.09bd.50c9,N/A,192.168.116.234
192.168.116.7,Gi3/0/32,N/A,84b8.0288.412c,N/A,192.168.116.184
192.168.116.7,Gi3/0/33,N/A,5cff.35c1.ca2e,N/A,10.100.4.29
192.168.116.7,Gi3/0/34,f8b7.e295.6fbf,785d.c882.0c4a,192.168.117.86,192.168.116.167
192.168.116.7,Gi3/0/35,N/A,0007.4d37.0861,N/A,10.2.54.65
192.168.116.7,Gi3/0/36,N/A,0007.4d5f.3022,N/A,192.168.116.101
192.168.116.7,Gi3/0/37,203a.0782.612f,f439.0912.6d0f,192.168.117.65,192.168.116.230
192.168.116.7,Gi3/0/38,N/A,5cff.35c2.048b,N/A,10.100.4.146
192.168.116.7,Gi3/0/39,N/A,14c9.13a7.e17c,N/A,192.168.116.237
192.168.116.7,Gi3/0/40,203a.0782.5f7d,N/A,192.168.117.36,N/A
192.168.116.7,Gi3/0/41,50f7.2271.bb59,f439.090c.e1bc,192.168.117.76,192.168.116.186
192.168.116.7,Gi3/0/42,203a.0782.387b,f439.090c.de87,192.168.117.58,192.168.116.228
192.168.116.7,Gi3/0/43,203a.0782.57c7,f439.090c.df7d,192.168.117.54,192.168.116.227
192.168.116.7,Gi3/0/44,501c.b00c.0377,f439.090c.be58,192.168.117.177,192.168.116.245
192.168.116.7,Gi3/0/46,203a.0782.2dc3,f439.090c.df7e,192.168.117.57,192.168.116.232
192.168.116.7,Gi3/0/47,N/A,0090.e87e.0d6f,N/A,192.168.116.219
192.168.116.7,Gi3/0/48,203a.0782.5851,f439.090e.86e2,192.168.117.51,192.168.116.248
192.168.116.7,Gi4/0/1,N/A,84b8.02a6.9404,N/A,192.168.116.93
192.168.116.7,Gi4/0/2,N/A,84b8.0248.e0bc,N/A,192.168.116.162
192.168.116.7,Gi4/0/3,N/A,0007.4d4e.4732,N/A,192.168.116.15
192.168.116.7,Gi4/0/5,682c.7b5c.13d6,14c9.13a7.e474,192.168.117.187,192.168.116.88
192.168.116.7,Gi4/0/6,N/A,84b8.0270.1454,N/A,192.168.116.170
192.168.116.7,Gi4/0/8,N/A,14c9.1304.c516,N/A,192.168.116.75
192.168.116.7,Gi4/0/9,N/A,74fe.485b.9980,N/A,192.168.116.212
192.168.116.7,Gi4/0/10,N/A,84b8.0277.3764,N/A,192.168.116.112
192.168.116.7,Gi4/0/11,N/A,5cff.35c1.ca98,N/A,10.100.4.35
192.168.116.7,Gi4/0/12,N/A,84b8.0272.1b30,N/A,192.168.116.151
192.168.116.7,Gi4/0/13,N/A,0022.db02.038b,N/A,192.168.116.46
192.168.116.7,Gi4/0/14,N/A,84b8.0270.0d80,N/A,192.168.116.122
192.168.116.7,Gi4/0/15,N/A,5cff.35c1.fc6a,N/A,10.100.4.141
192.168.116.7,Gi4/0/16,N/A,84b8.02b3.b2cc,N/A,192.168.116.113
192.168.116.7,Gi4/0/17,203a.0782.574b,e8d8.d14e.1abc,192.168.117.50,192.168.116.95
192.168.116.7,Gi4/0/18,203a.0782.5f91,80e8.2c31.730f,192.168.117.55,192.168.116.123
192.168.116.7,Gi4/0/19,N/A,5cff.35c1.fbb2,N/A,10.100.4.155
192.168.116.7,Gi4/0/20,N/A,84b8.0288.4034,N/A,192.168.116.208
192.168.116.7,Gi4/0/21,203a.0782.67d5,785d.c882.0c31,192.168.117.183,192.168.116.155
192.168.116.7,Gi4/0/22,N/A,84b8.0283.1778,N/A,192.168.116.91
192.168.116.7,Gi4/0/23,203a.0782.2faf,2017.4263.a76d,192.168.117.61,192.168.116.215
192.168.116.7,Gi4/0/24,N/A,84b8.0270.1378,N/A,192.168.116.149
192.168.116.7,Gi4/0/25,203a.0782.61e7,14c9.13a7.f3d6,192.168.117.48,192.168.116.176
192.168.116.7,Gi4/0/26,N/A,84b8.0270.1414,N/A,192.168.116.78
192.168.116.7,Gi4/0/27,203a.0782.35d5,14c9.13a7.f488,192.168.117.37,192.168.116.134
192.168.116.7,Gi4/0/28,N/A,84b8.02b3.bb9c,N/A,192.168.116.180
192.168.116.7,Gi4/0/29,203a.0782.360f,14c9.132d.85af,192.168.117.181,192.168.116.252
192.168.116.7,Gi4/0/31,00cc.fc98.9cbe,1062.e51a.ada9,192.168.117.167,192.168.116.67
192.168.116.7,Gi4/0/32,0027.9081.57be,2017.4263.a9c2,192.168.117.67,192.168.116.104
192.168.116.7,Gi4/0/34,203a.0782.328d,0025.64f6.9cb4,192.168.117.77,192.168.116.229
192.168.116.7,Gi4/0/35,N/A,0007.4d97.b3f6,N/A,192.168.116.19
192.168.116.7,Gi4/0/37,N/A,3c4a.9244.2c2b,N/A,192.168.116.17
192.168.116.7,Gi4/0/38,N/A,5cff.35c1.b18c,N/A,10.100.4.24
192.168.116.7,Gi4/0/39,203a.0782.5fb7,N/A,192.168.117.53,N/A
192.168.116.7,Gi4/0/40,203a.0782.32b7,14c9.1304.d858,192.168.117.94,192.168.116.178
192.168.116.7,Gi4/0/41,N/A,84b8.0272.20bc,N/A,192.168.116.116
192.168.116.7,Gi4/0/42,N/A,84b8.0283.1828,N/A,192.168.116.102
192.168.116.7,Gi4/0/43,6c50.4d57.8199,f439.090e.86cc,192.168.117.23,192.168.116.76
192.168.116.7,Gi4/0/44,N/A,7486.7a49.97c4,N/A,192.168.116.86
192.168.116.7,Gi4/0/46,b4a4.e3d6.6670,f439.090c.ca9e,192.168.117.24,192.168.116.100
192.168.116.7,Gi4/0/47,N/A,7438.b7c8.3366,N/A,192.168.116.18
192.168.116.7,Gi4/0/48,N/A,f481.39db.dab3,N/A,192.168.116.130
192.168.116.7,Gi5/0/1,N/A,0007.4d8d.f1d6,N/A,10.100.4.140
192.168.116.7,Gi5/0/2,N/A,14c9.13a7.c196,N/A,10.100.4.148
192.168.116.7,Gi5/0/3,N/A,000c.cc60.8d24,N/A,NO_IP
192.168.116.7,Gi5/0/4,N/A,001e.0b0e.96ea,N/A,10.1.100.177
192.168.116.7,Gi5/0/5,N/A,000c.cc60.8c0b,N/A,192.168.252.235
192.168.116.7,Gi5/0/6,N/A,5cff.35c2.0642,N/A,10.100.4.152
192.168.116.7,Gi5/0/7,N/A,000c.cc60.8d26,N/A,192.168.252.233
192.168.116.7,Gi5/0/8,N/A,5cff.35c1.fbbc,N/A,10.100.4.135
192.168.116.7,Gi5/0/9,N/A,000c.cc60.8d25,N/A,192.168.252.234
